Date,Branch,Customer Type,Total
2019-01-05,A,Member,548.9715
2019-03-08,C,Normal,80.22
2019-03-03,A,Normal,340.5255
2019-01-27,A,Member,489.048
2019-02-08,A,Normal,634.3785
2019-03-25,C,Normal,627.6165
2019-02-25,A,Member,433.692
2019-02-24,C,Normal,772.38
2019-01-10,A,Member,76.146
2019-02-20,B,Member,172.746
2019-02-06,B,Member,60.816
2019-03-09,B,Member,107.142
2019-02-12,A,Normal,246.4875
2019-02-07,A,Normal,453.495
2019-03-29,A,Normal,749.49
2019-01-15,B,Member,590.436
2019-03-11,A,Member,506.6355
2019-01-01,A,Normal,457.443
2019-01-21,A,Normal,172.2105
2019-03-11,B,Normal,84.63
2019-02-25,C,Member,451.71
2019-03-05,B,Normal,277.137
2019-03-15,B,Normal,69.72
2019-02-17,A,Normal,181.44
2019-03-02,A,Member,279.1845
2019-03-22,A,Member,441.756
2019-02-08,B,Normal,35.196
2019-03-10,A,Normal,184.107
2019-01-25,B,Normal,463.89
2019-03-15,A,Normal,235.2105
2019-02-25,B,Normal,494.1825
2019-01-28,B,Member,737.7615
2019-01-10,B,Normal,703.752
2019-03-15,A,Normal,202.818
2019-02-06,C,Member,417.564
2019-01-07,C,Member,71.526
2019-03-10,A,Member,328.755
2019-01-15,A,Normal,575.316
2019-03-23,C,Normal,461.328
2019-03-03,B,Member,253.008
2019-01-17,B,Member,91.056
2019-02-02,C,Member,117.831
2019-02-08,B,Member,435.456
2019-03-04,C,Member,829.08
2019-03-16,C,Member,32.277
2019-03-09,B,Member,394.632
2019-02-27,B,Member,535.7205
2019-02-06,B,Member,189.0945
2019-02-10,B,Member,119.259
2019-03-19,C,Member,867.615
2019-02-03,C,Member,671.79
2019-02-10,A,Member,234.0975
2019-03-22,B,Member,75.054
2019-01-25,C,Member,16.2015
2019-03-07,B,Normal,33.936
2019-02-28,C,Normal,722.232
2019-03-27,A,Member,93.114
2019-02-07,A,Normal,752.64
2019-01-20,A,Member,759.675
2019-03-12,C,Normal,192.843
2019-02-15,C,Member,77.931
2019-02-24,C,Normal,351.099
2019-02-03,B,Member,520.4115
2019-03-06,A,Member,166.005
2019-02-14,B,Member,318.108
2019-03-13,A,Member,166.635
2019-02-10,C,Normal,70.287
2019-01-07,B,Member,614.943
2019-01-24,A,Normal,827.085
2019-02-02,A,Member,19.2465
2019-01-06,C,Normal,939.54
2019-02-11,C,Normal,652.26
2019-03-05,B,Member,152.838
2019-03-09,C,Normal,478.233
2019-01-22,A,Normal,705.6315
2019-01-13,C,Normal,437.325
2019-01-09,C,Member,463.428
2019-01-12,A,Member,189.0945
2019-03-05,C,Member,822.255
2019-01-22,C,Normal,106.995
2019-01-21,C,Normal,624.897
2019-01-26,B,Normal,304.542
2019-01-23,C,Normal,161.7
2019-02-23,C,Member,337.512
2019-03-09,C,Member,256.7775
2019-03-05,C,Normal,610.491
2019-03-25,C,Normal,401.73
2019-03-27,A,Member,362.943
2019-01-02,A,Normal,44.5935
2019-02-27,B,Normal,485.037
2019-01-23,C,Member,198.996
2019-01-26,C,Normal,471.03
2019-01-10,A,Member,161.553
2019-03-12,B,Member,608.202
2019-02-06,C,Normal,94.2375
2019-03-08,A,Normal,102.018
2019-03-29,B,Normal,922.635
2019-02-09,C,Normal,78.435
2019-03-23,A,Normal,166.1625
2019-03-05,B,Normal,521.01
2019-03-26,C,Member,51.1455
2019-03-01,C,Normal,742.2975
