week_in_month,Product line,Gender,Spending Amount
1,Electronic accessories,Female,329.65747500000003
1,Electronic accessories,Male,278.192775
1,Fashion accessories,Female,258.38778
1,Fashion accessories,Male,291.6403
1,Food and beverages,Female,338.5387173913044
1,Food and beverages,Male,325.69286842105265
1,Health and beauty,Female,289.7118
1,Health and beauty,Male,335.04
1,Home and lifestyle,Female,473.801
1,Home and lifestyle,Male,285.60228260869565
1,Sports and travel,Female,276.84254347826084
1,Sports and travel,Male,270.4891
2,Electronic accessories,Female,276.82515
2,Electronic accessories,Male,345.0022058823529
2,Fashion accessories,Female,350.8365
2,Fashion accessories,Male,348.651975
2,Food and beverages,Female,427.98
2,Food and beverages,Male,272.7601153846154
2,Health and beauty,Female,257.628
2,Health and beauty,Male,364.99378125
2,Home and lifestyle,Female,323.7558333333333
2,Home and lifestyle,Male,333.4769117647059
2,Sports and travel,Female,368.17152272727276
2,Sports and travel,Male,304.5861
3,Electronic accessories,Female,327.2329772727273
3,Electronic accessories,Male,342.90462499999995
3,Fashion accessories,Female,388.94470588235293
3,Fashion accessories,Male,258.00047368421053
3,Food and beverages,Female,397.29549999999995
3,Food and beverages,Male,230.37157499999998
3,Health and beauty,Female,307.0725
3,Health and beauty,Male,270.897
3,Home and lifestyle,Female,447.9222631578947
3,Home and lifestyle,Male,316.8955
3,Sports and travel,Female,314.17808333333335
3,Sports and travel,Male,423.31537499999996
4,Electronic accessories,Female,377.70425
4,Electronic accessories,Male,290.4867
4,Fashion accessories,Female,283.4925625
4,Fashion accessories,Male,228.39600000000002
4,Food and beverages,Female,295.535625
4,Food and beverages,Male,271.69041666666664
4,Health and beauty,Female,282.3408
4,Health and beauty,Male,363.41979545454546
4,Home and lifestyle,Female,281.763794117647
4,Home and lifestyle,Male,258.3243157894737
4,Sports and travel,Female,393.2915
4,Sports and travel,Male,347.7222
5,Electronic accessories,Female,243.642
5,Electronic accessories,Male,369.13275
5,Fashion accessories,Female,369.201
5,Fashion accessories,Male,432.355
5,Food and beverages,Female,670.6376250000001
5,Food and beverages,Male,196.14
5,Health and beauty,Female,749.49
5,Health and beauty,Male,509.1174375
5,Home and lifestyle,Female,239.736
5,Home and lifestyle,Male,24.108
5,Sports and travel,Female,196.15949999999998
5,Sports and travel,Male,255.91125
