week_in_month,Day Of Week,Total
1,1,9168.18
1,2,14007.189
1,3,7943.523
1,4,10744.5975
1,5,6702.591
1,6,14237.937
1,7,13935.306
2,1,11470.021499999999
2,2,11970.273
2,3,6019.188
2,4,13229.6745
2,5,10325.007
2,6,15930.705
2,7,8755.4565
3,1,5180.9625
3,2,15912.771
3,3,12453.7035
3,4,6414.009
3,5,12553.673999999999
3,6,10572.9645
3,7,10931.3085
4,1,12079.913999999999
4,2,6075.447
4,3,14756.4585
4,4,9728.4705
4,5,10321.825499999999
4,6,10892.1435
4,7,10835.8215
5,2,3516.5655
5,3,2558.2619999999997
5,4,5232.4965
5,5,4023.243
5,6,4487.0595
