Branch,week_in_month,Day Of Week,Total
A,1,Monday,5197.1325
A,1,Tuesday,3358.4355
A,1,Wednesday,1763.5695
A,1,Thursday,3372.705
A,1,Friday,2039.415
A,1,Saturday,3685.92
A,1,Sunday,4841.844
A,2,Monday,3457.5135
A,2,Tuesday,2164.029
A,2,Wednesday,1206.555
A,2,Thursday,3555.9195
A,2,Friday,4948.293
A,2,Saturday,4807.3095
A,2,Sunday,3614.268
A,3,Monday,2913.099
A,3,Tuesday,5762.1165
A,3,Wednesday,4138.554
A,3,Thursday,3109.071
A,3,Friday,3027.4965
A,3,Saturday,4479.615
A,3,Sunday,5928.951
A,4,Monday,2671.3155
A,4,Tuesday,2145.717
A,4,Wednesday,5863.641
A,4,Thursday,4796.421
A,4,Friday,3551.0475
A,4,Saturday,2471.952
A,4,Sunday,2621.7555
A,5,Tuesday,1524.915
A,5,Wednesday,295.407
A,5,Thursday,588.1575
A,5,Friday,977.613
A,5,Saturday,1320.6165
B,1,Monday,2578.275
B,1,Tuesday,6066.3435
B,1,Wednesday,4263.8925
B,1,Thursday,4037.9115
B,1,Friday,1443.897
B,1,Saturday,5668.299
B,1,Sunday,3872.8830000000003
B,2,Monday,3522.75
B,2,Tuesday,5073.6945
B,2,Wednesday,918.6030000000001
B,2,Thursday,4122.2895
B,2,Friday,1848.0105
B,2,Saturday,6363.7455
B,2,Sunday,1764.7245
B,3,Monday,587.0655
B,3,Tuesday,3932.9535
B,3,Wednesday,4282.162499999999
B,3,Thursday,1636.782
B,3,Friday,5240.9490000000005
B,3,Saturday,2713.5254999999997
B,3,Sunday,1531.446
B,4,Monday,6046.614
B,4,Tuesday,2839.6935
B,4,Wednesday,2787.2775
B,4,Thursday,3199.3605
B,4,Friday,3824.9715
B,4,Saturday,4814.397
B,4,Sunday,3246.2745
B,5,Tuesday,946.5540000000001
B,5,Wednesday,455.65799999999996
B,5,Thursday,2782.2795
B,5,Friday,2059.932
B,5,Saturday,1724.4569999999999
C,1,Monday,1392.7725
C,1,Tuesday,4582.41
C,1,Wednesday,1916.0610000000001
C,1,Thursday,3333.9809999999998
C,1,Friday,3219.279
C,1,Saturday,4883.718
C,1,Sunday,5220.579
C,2,Monday,4489.758
C,2,Tuesday,4732.5495
C,2,Wednesday,3894.0299999999997
C,2,Thursday,5551.4655
C,2,Friday,3528.7035
C,2,Saturday,4759.65
C,2,Sunday,3376.464
C,3,Monday,1680.798
C,3,Tuesday,6217.701
C,3,Wednesday,4032.987
C,3,Thursday,1668.156
C,3,Friday,4285.2285
C,3,Saturday,3379.824
C,3,Sunday,3470.9115
C,4,Monday,3361.9845
C,4,Tuesday,1090.0365
C,4,Wednesday,6105.54
C,4,Thursday,1732.6889999999999
C,4,Friday,2945.8065
C,4,Saturday,3605.7945
C,4,Sunday,4967.7915
C,5,Tuesday,1045.0965
C,5,Wednesday,1807.1970000000001
C,5,Thursday,1862.0595
C,5,Friday,985.6980000000001
C,5,Saturday,1441.9859999999999
