Branch,Time,Total
A,10,294.95826315789475
A,11,324.2826
A,12,287.42636363636365
A,13,336.89520967741936
A,14,354.09654
A,15,304.6946756756757
A,16,339.67926562499997
A,17,334.9531111111111
A,18,225.66727272727275
A,19,382.60211111111107
A,20,268.0172727272727
B,10,340.9939615384616
B,11,317.63072727272726
B,12,339.01644
B,13,296.64240789473683
B,14,389.8188
B,15,320.03639062499997
B,16,242.5623529411765
B,17,392.052675
B,18,273.0081
B,19,325.24905
B,20,284.0044038461538
C,10,306.68172972972974
C,11,388.4374772727273
C,12,261.46456451612903
C,13,382.560705882353
C,14,367.193625
C,15,292.86790909090905
C,16,365.46525
C,17,280.0159444444445
C,18,361.12146
C,19,364.077875
C,20,358.85305555555556
